like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
-0.3555,4.195,1.307,6.676,1.0
-0.1708,4.29,3.543,6.395,1.0
-0.1781,4.38,5.777,6.117,1.0
-0.2795,4.473,8.016,5.836,1.0
-0.3552,4.566,9.75,5.56,1.0
-0.2244,4.66,7.516,5.277,1.0
-0.0521,4.754,5.277,5.0,1.0
-0.1897,4.848,3.043,4.72,1.0
-0.4727,4.94,1.214,4.44,1.0
-0.193,5.03,3.45,4.16,1.0
-0.10077,5.125,5.684,3.88,1.0
-0.2216,5.22,7.92,3.602,1.0
-0.3245,5.312,9.84,3.322,1.0
-0.2242,5.406,7.605,3.043,1.0
-0.2299,5.5,5.37,2.764,1.0
-0.459,5.594,3.135,2.484,1.0
-0.853,5.684,1.12,2.203,1.0
-0.525,5.777,3.355,1.925,1.0
-0.371,5.87,5.594,1.6455,1.0
-0.3552,5.965,7.83,1.365,1.0
-0.4065,6.06,9.94,1.086,1.0
-0.374,6.152,7.7,1.214,1.0
-0.4275,6.242,5.465,1.493,1.0
-0.6255,6.336,3.229,1.772,1.0
-0.9766,6.43,1.027,2.053,1.0
-0.569,6.523,3.264,2.332,1.0
-0.339,6.617,5.5,2.611,1.0
-0.2491,6.71,7.734,2.89,1.0
-0.268,6.805,9.97,3.17,1.0
-0.2146,6.895,7.793,3.45,1.0
-0.271,6.99,5.56,3.729,1.0
-0.45,7.082,3.322,4.008,1.0
-0.7256,7.176,1.086,4.29,1.0
-0.44,7.27,3.17,4.566,1.0
-0.2347,7.363,5.406,4.848,1.0
-0.1292,7.457,7.64,5.125,1.0
-0.1566,7.547,9.875,5.406,1.0
-0.10315,7.64,7.887,5.684,1.0
-0.1882,7.734,5.652,5.965,1.0
-0.3618,7.83,3.416,6.242,1.0
-0.5903,7.92,1.18,6.523,1.0
-0.3816,8.016,3.076,6.805,1.0
-0.196,8.11,5.312,7.082,1.0
-0.05963,8.2,7.547,7.363,1.0
-0.07666,8.3,9.78,7.64,1.0
-0.03333,8.39,7.98,7.92,1.0
-0.1627,8.48,5.742,8.2,1.0
-0.3235,8.57,3.508,8.48,1.0
-0.517,8.664,1.272,8.76,1.0
-0.3618,8.76,2.984,9.04,1.0
-0.201,8.85,5.22,9.32,1.0
-0.0758,8.945,7.457,9.6,1.0
-0.0482,9.04,9.69,9.875,1.0
-0.05493,9.13,8.07,9.84,1.0
-0.1783,9.23,5.836,9.56,1.0
-0.3376,9.32,3.602,9.28,1.0
-0.537,9.414,1.365,9.01,1.0
-0.4192,9.51,2.89,8.73,1.0
-0.2678,9.6,5.125,8.445,1.0
-0.1484,9.69,7.363,8.164,1.0
-0.0808,9.78,9.6,7.887,1.0
-0.1434,9.875,8.164,7.605,1.0
-0.2795,9.97,5.93,7.33,1.0
-0.4495,9.94,3.695,7.047,1.0
-0.667,9.84,1.459,6.77,1.0
-0.545,9.75,2.797,6.49,1.0
-0.3699,9.66,5.03,6.21,1.0
-0.2408,9.56,7.27,5.93,1.0
-0.1755,9.47,9.51,5.652,1.0
-0.217,9.375,8.26,5.37,1.0
-0.338,9.28,6.023,5.094,1.0
-0.522,9.19,3.787,4.812,1.0
-0.7827,9.1,1.552,4.53,1.0
-0.662,9.01,2.703,4.254,1.0
-0.4624,8.914,4.94,3.975,1.0
-0.331,8.82,7.176,3.695,1.0
-0.2756,8.73,9.414,3.416,1.0
-0.3132,8.63,8.35,3.135,1.0
-0.436,8.54,6.117,2.855,1.0
-0.6475,8.445,3.88,2.576,1.0
-0.9766,8.35,1.6455,2.297,1.0
-0.857,8.26,2.611,2.018,1.0
-0.615,8.164,4.848,1.738,1.0
-0.4705,8.07,7.082,1.459,1.0
-0.4126,7.98,9.32,1.18,1.0
-0.4346,7.887,8.445,1.12,1.0
-0.5103,7.793,6.21,1.399,1.0
-0.6753,7.7,3.975,1.679,1.0
-0.9536,7.605,1.738,1.959,1.0
-0.7793,7.516,2.518,2.238,1.0
-0.4788,7.42,4.754,2.518,1.0
-0.3054,7.33,6.99,2.797,1.0
-0.2559,7.234,9.23,3.076,1.0
-0.2301,7.14,8.54,3.355,1.0
-0.2439,7.047,6.305,3.635,1.0
-0.3696,6.957,4.066,3.916,1.0
-0.5967,6.863,1.831,4.195,1.0
-0.4854,6.77,2.424,4.473,1.0
-0.2292,6.676,4.66,4.754,1.0
-0.0939,6.582,6.895,5.03,1.0
-0.1672,6.49,9.13,5.312,1.0
-0.1417,6.395,8.63,5.594,1.0
-0.0261,6.305,6.395,5.87,1.0
-0.1632,6.21,4.16,6.152,1.0
-0.3762,6.117,1.925,6.43,1.0
-0.3167,6.023,2.332,6.71,1.0
-0.11334,5.93,4.566,6.99,1.0
-0.11127,5.836,6.805,7.27,1.0
-0.227,5.742,9.04,7.547,1.0
-0.2277,5.652,8.73,7.83,1.0
-0.1646,5.56,6.49,8.11,1.0
-0.1895,5.465,4.254,8.39,1.0
-0.3289,5.37,2.018,8.664,1.0
-0.3198,5.277,2.238,8.945,1.0
-0.2395,5.184,4.473,9.23,1.0
-0.2695,5.094,6.71,9.51,1.0
-0.3406,5.0,8.945,9.78,1.0
-0.3496,4.906,8.82,9.94,1.0
-0.2993,4.812,6.582,9.66,1.0
-0.2832,4.72,4.348,9.375,1.0
-0.352,4.625,2.111,9.1,1.0
-0.344,4.53,2.145,8.82,1.0
-0.267,4.44,4.38,8.54,1.0
-0.298,4.348,6.617,8.26,1.0
-0.375,4.254,8.85,7.98,1.0
-0.382,4.16,8.914,7.7,1.0
-0.3035,4.066,6.676,7.42,1.0
-0.2404,3.975,4.44,7.14,1.0
-0.287,3.88,2.203,6.863,1.0
-0.2886,3.787,2.053,6.582,1.0
-0.2225,3.695,4.29,6.305,1.0
-0.3135,3.602,6.523,6.023,1.0
-0.4282,3.508,8.76,5.742,1.0
-0.4495,3.416,9.01,5.465,1.0
-0.3462,3.322,6.77,5.184,1.0
-0.2177,3.229,4.53,4.906,1.0
-0.1848,3.135,2.297,4.625,1.0
-0.2006,3.043,1.959,4.348,1.0
-0.1984,2.95,4.195,4.066,1.0
-0.38,2.855,6.43,3.787,1.0
-0.53,2.764,8.664,3.508,1.0
-0.57,2.67,9.1,3.229,1.0
-0.46,2.576,6.863,2.95,1.0
-0.2913,2.484,4.625,2.67,1.0
