like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,chain
0.9883,3.943,5.113,1.855,1.0,0.0846,-0.00976,0.665,0.1114,0.192,0.113,0.0846,1.0,0.307,0.117,0.002708,0.9854,0.03342,-0.00976,0.307,1.0,0.0567,0.00399,0.341,0.00874,0.665,0.117,0.0567,1.0,0.04303,0.2817,0.1925,0.1114,0.002708,0.00399,0.04303,1.0,0.00997,0.01105,0.192,0.9854,0.341,0.2817,0.00997,1.0,0.0646,0.113,0.03342,0.00874,0.1925,0.01105,0.0646,1.0,1.0
0.9966,5.066,8.75,3.637,1.0,0.0846,-0.00976,0.665,0.1114,0.2427,0.1058,0.0846,1.0,0.307,0.117,0.002708,0.968,0.01833,-0.00976,0.307,1.0,0.0567,0.00399,0.3474,0.00496,0.665,0.117,0.0567,1.0,0.04303,0.3591,0.1862,0.1114,0.002708,0.00399,0.04303,1.0,0.01338,0.0086,0.2427,0.968,0.3474,0.3591,0.01338,1.0,0.06335,0.1058,0.01833,0.00496,0.1862,0.0086,0.06335,1.0,1.0
0.9634,6.46,2.441,1.24,1.0,0.0846,-0.00976,0.665,0.1114,0.1304,0.1674,0.0846,1.0,0.307,0.117,0.002708,0.9976,0.1321,-0.00976,0.307,1.0,0.0567,0.00399,0.318,0.03244,0.665,0.117,0.0567,1.0,0.04303,0.1868,0.2405,0.1114,0.002708,0.00399,0.04303,1.0,0.005764,0.02971,0.1304,0.9976,0.318,0.1868,0.005764,1.0,0.1476,0.1674,0.1321,0.03244,0.2405,0.02971,0.1476,1.0,1.0
0.9756,6.97,3.184,2.008,1.0,0.0846,-0.00976,0.665,0.1114,0.1527,0.1493,0.0846,1.0,0.307,0.117,0.002708,0.994,0.0876,-0.00976,0.307,1.0,0.0567,0.00399,0.32,0.02155,0.665,0.117,0.0567,1.0,0.04303,0.2207,0.2274,0.1114,0.002708,0.00399,0.04303,1.0,0.00724,0.02176,0.1527,0.994,0.32,0.2207,0.00724,1.0,0.1099,0.1493,0.0876,0.02155,0.2274,0.02176,0.1099,1.0,1.0
0.912,2.633,9.586,9.61,1.0,0.0846,-0.00976,0.665,0.1114,0.5474,0.1076,0.0846,1.0,0.307,0.117,0.002708,0.659,0.0047,-0.00976,0.307,1.0,0.0567,0.00399,0.2751,0.001279,0.665,0.117,0.0567,1.0,0.04303,0.822,0.1902,0.1114,0.002708,0.00399,0.04303,1.0,0.03418,0.006992,0.5474,0.659,0.2751,0.822,0.03418,1.0,0.146,0.1076,0.0047,0.001279,0.1902,0.006992,0.146,1.0,1.0
0.9946,9.69,4.15,6.207,1.0,0.0846,-0.00976,0.665,0.1114,0.2303,0.1332,0.0846,1.0,0.307,0.117,0.002708,0.974,0.039,-0.00976,0.307,1.0,0.0567,0.00399,0.3152,0.00947,0.665,0.117,0.0567,1.0,0.04303,0.3376,0.216,0.1114,0.002708,0.00399,0.04303,1.0,0.01235,0.01365,0.2303,0.974,0.3152,0.3376,0.01235,1.0,0.0859,0.1332,0.039,0.00947,0.216,0.01365,0.0859,1.0,1.0
0.977,9.27,6.68,2.7,1.0,0.0846,-0.00976,0.665,0.1114,0.153,0.1366,0.0846,1.0,0.307,0.117,0.002708,0.994,0.07336,-0.00976,0.307,1.0,0.0567,0.00399,0.3271,0.01836,0.665,0.117,0.0567,1.0,0.04303,0.2216,0.2146,0.1114,0.002708,0.00399,0.04303,1.0,0.0073,0.0184,0.153,0.994,0.3271,0.2216,0.0073,1.0,0.0947,0.1366,0.07336,0.01836,0.2146,0.0184,0.0947,1.0,1.0
0.898,1.9,3.227,7.44,1.0,0.0846,-0.00976,0.665,0.1114,0.563,0.1156,0.0846,1.0,0.307,0.117,0.002708,0.6313,0.005623,-0.00976,0.307,1.0,0.0567,0.00399,0.2357,0.001415,0.665,0.117,0.0567,1.0,0.04303,0.8433,0.1995,0.1114,0.002708,0.00399,0.04303,1.0,0.0351,0.007698,0.563,0.6313,0.2357,0.8433,0.0351,1.0,0.1586,0.1156,0.005623,0.001415,0.1995,0.007698,0.1586,1.0,1.0
0.981,6.523,6.0,2.215,1.0,0.0846,-0.00976,0.665,0.1114,0.1637,0.1262,0.0846,1.0,0.307,0.117,0.002708,0.992,0.05624,-0.00976,0.307,1.0,0.0567,0.00399,0.3323,0.014275,0.665,0.117,0.0567,1.0,0.04303,0.2382,0.205,0.1114,0.002708,0.00399,0.04303,1.0,0.00804,0.01514,0.1637,0.992,0.3323,0.2382,0.00804,1.0,0.08014,0.1262,0.05624,0.014275,0.205,0.01514,0.08014,1.0,1.0
0.9775,5.56,5.797,1.578,1.0,0.0846,-0.00976,0.665,0.1114,0.1508,0.1237,0.0846,1.0,0.307,0.117,0.002708,0.994,0.0618,-0.00976,0.307,1.0,0.0567,0.00399,0.3362,0.01588,0.665,0.117,0.0567,1.0,0.04303,0.219,0.2004,0.1114,0.002708,0.00399,0.04303,1.0,0.00721,0.01556,0.1508,0.994,0.3362,0.219,0.00721,1.0,0.0813,0.1237,0.0618,0.01588,0.2004,0.01556,0.0813,1.0,1.0
1.0,7.492,9.42,7.117,1.0,0.0846,-0.00976,0.665,0.1114,0.2883,0.1143,0.0846,1.0,0.307,0.117,0.002708,0.9473,0.01714,-0.00976,0.307,1.0,0.0567,0.00399,0.3296,0.004402,0.665,0.117,0.0567,1.0,0.04303,0.427,0.1969,0.1114,0.002708,0.00399,0.04303,1.0,0.01634,0.00909,0.2883,0.9473,0.3296,0.427,0.01634,1.0,0.07855,0.1143,0.01714,0.004402,0.1969,0.00909,0.07855,1.0,1.0
0.987,1.613,5.66,2.803,1.0,0.0846,-0.00976,0.665,0.1114,0.4001,0.0989,0.0846,1.0,0.307,0.117,0.002708,0.861,0.005955,-0.00976,0.307,1.0,0.0567,0.00399,0.352,0.001768,0.665,0.117,0.0567,1.0,0.04303,0.6,0.1792,0.1114,0.002708,0.00399,0.04303,1.0,0.02414,0.00658,0.4001,0.861,0.352,0.6,0.02414,1.0,0.09515,0.0989,0.005955,0.001768,0.1792,0.00658,0.09515,1.0,1.0
0.9995,7.688,1.692,8.49,1.0,0.0846,-0.00976,0.665,0.1114,0.3188,0.1301,0.0846,1.0,0.307,0.117,0.002708,0.931,0.02324,-0.00976,0.307,1.0,0.0567,0.00399,0.2988,0.005524,0.665,0.117,0.0567,1.0,0.04303,0.471,0.2144,0.1114,0.002708,0.00399,0.04303,1.0,0.0182,0.01128,0.3188,0.931,0.2988,0.471,0.0182,1.0,0.09924,0.1301,0.02324,0.005524,0.2144,0.01128,0.09924,1.0,1.0
0.98,4.363,1.26,8.12,1.0,0.0846,-0.00976,0.665,0.1114,0.4258,0.1246,0.0846,1.0,0.307,0.117,0.002708,0.843,0.01253,-0.00976,0.307,1.0,0.0567,0.00399,0.2764,0.002975,0.665,0.117,0.0567,1.0,0.04303,0.633,0.2092,0.1114,0.002708,0.00399,0.04303,1.0,0.02544,0.009346,0.4258,0.843,0.2764,0.633,0.02544,1.0,0.12305,0.1246,0.01253,0.002975,0.2092,0.009346,0.12305,1.0,1.0
0.9995,4.87,1.174,5.246,1.0,0.0846,-0.00976,0.665,0.1114,0.314,0.13,0.0846,1.0,0.307,0.117,0.002708,0.934,0.0237,-0.00976,0.307,1.0,0.0567,0.00399,0.3003,0.00564,0.665,0.117,0.0567,1.0,0.04303,0.4636,0.2142,0.1114,0.002708,0.00399,0.04303,1.0,0.0179,0.01133,0.314,0.934,0.3003,0.4636,0.0179,1.0,0.0981,0.13,0.0237,0.00564,0.2142,0.01133,0.0981,1.0,1.0
0.9995,2.03,2.902,2.305,1.0,0.0846,-0.00976,0.665,0.1114,0.3206,0.1125,0.0846,1.0,0.307,0.117,0.002708,0.928,0.01354,-0.00976,0.307,1.0,0.0567,0.00399,0.3281,0.003511,0.665,0.117,0.0567,1.0,0.04303,0.4758,0.1953,0.1114,0.002708,0.00399,0.04303,1.0,0.01851,0.008484,0.3206,0.928,0.3281,0.4758,0.01851,1.0,0.0845,0.1125,0.01354,0.003511,0.1953,0.008484,0.0845,1.0,1.0
0.857,1.383,1.331,7.14,1.0,0.0846,-0.00976,0.665,0.1114,0.5996,0.11884,0.0846,1.0,0.307,0.117,0.002708,0.541,0.005486,-0.00976,0.307,1.0,0.0567,0.00399,0.1956,0.001345,0.665,0.117,0.0567,1.0,0.04303,0.8984,0.2031,0.1114,0.002708,0.00399,0.04303,1.0,0.03766,0.007935,0.5996,0.541,0.1956,0.8984,0.03766,1.0,0.1743,0.11884,0.005486,0.001345,0.2031,0.007935,0.1743,1.0,1.0
0.999,9.07,3.314,7.664,1.0,0.0846,-0.00976,0.665,0.1114,0.2712,0.1307,0.0846,1.0,0.307,0.117,0.002708,0.957,0.02951,-0.00976,0.307,1.0,0.0567,0.00399,0.3093,0.007103,0.665,0.117,0.0567,1.0,0.04303,0.3994,0.2144,0.1114,0.002708,0.00399,0.04303,1.0,0.01506,0.01216,0.2712,0.957,0.3093,0.3994,0.01506,1.0,0.08966,0.1307,0.02951,0.007103,0.2144,0.01216,0.08966,1.0,1.0
0.999,8.664,1.023,9.805,1.0,0.0846,-0.00976,0.665,0.1114,0.3237,0.1316,0.0846,1.0,0.307,0.117,0.002708,0.928,0.02376,-0.00976,0.307,1.0,0.0567,0.00399,0.2957,0.005608,0.665,0.117,0.0567,1.0,0.04303,0.478,0.2158,0.1114,0.002708,0.00399,0.04303,1.0,0.01852,0.0115,0.3237,0.928,0.2957,0.478,0.01852,1.0,0.1018,0.1316,0.02376,0.005608,0.2158,0.0115,0.1018,1.0,1.0
0.9927,8.55,5.01,4.9,1.0,0.0846,-0.00976,0.665,0.1114,0.2158,0.1304,0.0846,1.0,0.307,0.117,0.002708,0.979,0.0402,-0.00976,0.307,1.0,0.0567,0.00399,0.3206,0.00988,0.665,0.117,0.0567,1.0,0.04303,0.3162,0.2126,0.1114,0.002708,0.00399,0.04303,1.0,0.01142,0.01352,0.2158,0.979,0.3206,0.3162,0.01142,1.0,0.0817,0.1304,0.0402,0.00988,0.2126,0.01352,0.0817,1.0,1.0
