like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
1.0,1.559,5.754,4.992,1.0
0.9995,1.651,3.527,5.27,1.0
0.999,1.745,1.299,5.55,1.0
0.9995,1.838,2.95,5.83,1.0
0.9995,1.932,5.18,6.11,1.0
1.0,2.025,7.406,6.387,1.0
1.0,2.117,9.63,6.668,1.0
1.0,2.21,8.08,6.945,1.0
0.9995,2.305,5.848,7.223,1.0
0.9995,2.396,3.62,7.504,1.0
0.9985,2.49,1.392,7.78,1.0
0.999,2.584,2.857,8.06,1.0
0.9995,2.676,5.086,8.34,1.0
0.9995,2.77,7.312,8.62,1.0
1.0,2.863,9.54,8.9,1.0
0.9995,2.955,8.17,9.18,1.0
0.9995,3.049,5.94,9.46,1.0
0.999,3.143,3.713,9.734,1.0
0.9985,3.236,1.484,9.945,1.0
0.999,3.328,2.764,9.664,1.0
0.9995,3.422,4.992,9.38,1.0
0.9995,3.516,7.22,9.11,1.0
1.0,3.607,9.445,8.83,1.0
1.0,3.701,8.266,8.55,1.0
1.0,3.795,6.035,8.266,1.0
0.9995,3.887,3.807,7.99,1.0
0.999,3.98,1.577,7.71,1.0
0.9995,4.074,2.672,7.43,1.0
1.0,4.168,4.9,7.152,1.0
1.0,4.26,7.13,6.87,1.0
1.0,4.35,9.36,6.594,1.0
1.0,4.445,8.35,6.316,1.0
1.0,4.54,6.13,6.035,1.0
1.0,4.633,3.898,5.758,1.0
0.9995,4.727,1.67,5.477,1.0
1.0,4.82,2.578,5.2,1.0
1.0,4.914,4.805,4.918,1.0
1.0,5.004,7.035,4.64,1.0
1.0,5.098,9.266,4.36,1.0
1.0,5.19,8.445,4.082,1.0
1.0,5.285,6.22,3.803,1.0
1.0,5.38,3.992,3.523,1.0
0.999,5.473,1.763,3.244,1.0
0.9995,5.566,2.484,2.965,1.0
0.9995,5.656,4.715,2.686,1.0
0.9995,5.75,6.94,2.406,1.0
0.9995,5.844,9.17,2.127,1.0
0.9995,5.938,8.54,1.848,1.0
0.9995,6.03,6.312,1.568,1.0
0.999,6.125,4.086,1.289,1.0
0.9966,6.215,1.856,1.011,1.0
0.9976,6.31,2.393,1.269,1.0
0.999,6.402,4.62,1.548,1.0
0.9995,6.496,6.848,1.827,1.0
0.9995,6.59,9.08,2.105,1.0
0.9995,6.684,8.63,2.385,1.0
0.9995,6.777,6.406,2.664,1.0
0.9995,6.867,4.176,2.943,1.0
0.9985,6.96,1.949,3.223,1.0
0.999,7.055,2.299,3.502,1.0
0.9995,7.15,4.527,3.781,1.0
1.0,7.242,6.758,4.06,1.0
1.0,7.336,8.984,4.34,1.0
1.0,7.426,8.73,4.617,1.0
1.0,7.52,6.5,4.9,1.0
0.9995,7.613,4.27,5.176,1.0
0.999,7.707,2.041,5.457,1.0
0.9995,7.8,2.207,5.734,1.0
1.0,7.895,4.434,6.016,1.0
1.0,7.99,6.664,6.293,1.0
1.0,8.08,8.89,6.574,1.0
1.0,8.17,8.82,6.85,1.0
1.0,8.266,6.59,7.133,1.0
1.0,8.36,4.363,7.41,1.0
0.9995,8.45,2.135,7.69,1.0
0.9995,8.55,2.113,7.97,1.0
1.0,8.64,4.344,8.25,1.0
1.0,8.734,6.57,8.52,1.0
1.0,8.92,8.9,8.91,1.0
1.0,9.016,9.18,8.82,1.0
1.0,9.11,9.45,6.586,1.0
0.9995,9.2,9.734,4.355,1.0
0.9995,9.3,9.93,2.121,1.0
0.9995,9.39,9.65,2.113,1.0
0.9995,9.484,9.37,4.348,1.0
1.0,9.58,9.09,6.58,1.0
1.0,9.67,8.81,8.81,1.0
1.0,9.766,8.53,8.914,1.0
1.0,9.86,8.26,6.68,1.0
0.9995,9.945,7.977,4.45,1.0
0.999,9.96,7.7,2.215,1.0
0.999,9.87,7.42,2.02,1.0
0.9995,9.77,7.14,4.254,1.0
1.0,9.68,6.863,6.484,1.0
1.0,9.586,6.586,8.72,1.0
1.0,9.49,6.31,9.01,1.0
1.0,9.4,6.027,6.773,1.0
0.9995,9.305,5.75,4.54,1.0
0.999,9.21,5.473,2.307,1.0
0.9985,9.12,5.19,1.927,1.0
0.9995,9.02,4.914,4.16,1.0
0.9995,8.93,4.637,6.395,1.0
1.0,8.836,4.355,8.625,1.0
1.0,8.75,4.08,9.1,1.0
0.9995,8.66,3.799,6.867,1.0
0.9995,8.56,3.521,4.633,1.0
0.998,8.47,3.242,2.4,1.0
0.9976,8.375,2.965,1.833,1.0
0.999,8.28,2.686,4.066,1.0
0.9995,8.19,2.406,6.3,1.0
0.9995,8.09,2.129,8.53,1.0
0.9995,8.0,1.85,9.195,1.0
0.9995,7.906,1.571,6.96,1.0
0.9985,7.816,1.293,4.727,1.0
0.9966,7.723,1.015,2.494,1.0
0.996,7.63,1.284,1.74,1.0
0.9985,7.535,1.5625,3.973,1.0
0.9995,7.44,1.842,6.207,1.0
0.9995,7.348,2.12,8.44,1.0
0.9995,7.258,2.398,9.29,1.0
0.9995,7.164,2.678,7.055,1.0
0.9995,7.07,2.955,4.82,1.0
0.999,6.977,3.234,2.586,1.0
