like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,chain
0.9087,3.297,5.805,1.877,1.0
0.824,3.203,8.04,1.598,1.0
0.749,3.111,9.7,1.318,1.0
0.746,3.018,7.465,1.039,1.0
0.845,2.926,5.23,1.241,1.0
0.9526,2.832,2.994,1.5205,1.0
0.998,2.74,1.241,1.8,1.0
0.983,2.646,3.477,2.08,1.0
0.961,2.555,5.71,2.36,1.0
0.94,2.46,7.95,2.639,1.0
0.928,2.37,9.8,2.918,1.0
0.9746,2.275,7.56,3.197,1.0
0.998,2.184,5.324,3.477,1.0
0.989,2.09,3.088,3.756,1.0
0.9473,1.997,1.147,4.035,1.0
0.9814,1.904,3.383,4.316,1.0
0.9956,1.812,5.62,4.594,1.0
0.998,1.719,7.855,4.875,1.0
0.9956,1.626,9.89,5.152,1.0
0.9966,1.533,7.652,5.434,1.0
0.9805,1.439,5.418,5.71,1.0
0.9453,1.347,3.182,5.992,1.0
0.895,1.254,1.055,6.273,1.0
0.937,1.161,3.291,6.55,1.0
0.965,1.068,5.527,6.832,1.0
0.9824,1.084,7.76,7.11,1.0
0.9927,1.177,9.984,7.39,1.0
0.979,1.2705,7.746,7.668,1.0
0.956,1.363,5.51,7.95,1.0
0.9243,1.456,3.275,8.23,1.0
0.885,1.549,1.039,8.51,1.0
0.9214,1.642,3.197,8.79,1.0
0.9487,1.734,5.434,9.06,1.0
0.9683,1.827,7.668,9.34,1.0
0.982,1.92,9.91,9.625,1.0
0.967,2.014,7.84,9.91,1.0
0.9487,2.105,5.6,9.8,1.0
0.926,2.2,3.367,9.516,1.0
0.8955,2.291,1.132,9.234,1.0
0.9287,2.385,3.104,8.96,1.0
0.959,2.477,5.34,8.68,1.0
0.9805,2.57,7.574,8.4,1.0
0.9937,2.662,9.81,8.12,1.0
0.988,2.756,7.934,7.84,1.0
0.976,2.848,5.695,7.56,1.0
0.957,2.941,3.46,7.28,1.0
0.928,3.035,1.225,7.0,1.0
0.96,3.127,3.012,6.723,1.0
0.986,3.22,5.246,6.44,1.0
0.998,3.312,7.484,6.164,1.0
0.997,3.406,9.72,5.883,1.0
0.999,3.498,8.02,5.6,1.0
0.9985,3.592,5.79,5.324,1.0
0.9907,3.684,3.555,5.043,1.0
0.971,3.777,1.318,4.766,1.0
0.993,3.87,2.918,4.484,1.0
0.999,3.963,5.152,4.207,1.0
0.983,4.055,7.39,3.926,1.0
0.9497,4.15,9.625,3.646,1.0
0.955,4.242,8.12,3.367,1.0
0.971,4.336,5.883,3.088,1.0
0.986,4.426,3.646,2.809,1.0
0.9956,4.52,1.411,2.53,1.0
0.9727,4.613,2.824,2.25,1.0
0.909,4.707,5.06,1.971,1.0
0.829,4.797,7.297,1.69,1.0
0.7485,4.89,9.53,1.411,1.0
0.7266,4.984,8.21,1.132,1.0
0.771,5.08,5.977,1.147,1.0
0.8667,5.168,3.74,1.427,1.0
0.9478,5.26,1.505,1.707,1.0
0.9453,5.355,2.73,1.986,1.0
0.924,5.45,4.97,2.266,1.0
0.906,5.543,7.203,2.545,1.0
