like1,parFLOWLENWEIGHT,parFLOWACCWEIGHT,parLSFACTORWEIGHT,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,chain
0.9995,4.508,4.582,4.996,1.0,0.1683,0.003683,0.6963,0.1874,0.3142,0.4326,0.1683,1.0,0.2155,0.219,0.1599,0.973,0.342,0.003683,0.2155,1.0,0.0729,0.03693,0.2568,0.07385,0.6963,0.219,0.0729,1.0,0.10846,0.4333,0.6875,0.1874,0.1599,0.03693,0.10846,1.0,0.1726,0.115,0.3142,0.973,0.2568,0.4333,0.1726,1.0,0.474,0.4326,0.342,0.07385,0.6875,0.115,0.474,1.0,1.0
0.9683,2.26,5.367,4.62,1.0,0.1683,0.003683,0.6963,0.1874,0.4038,0.414,0.1683,1.0,0.2155,0.219,0.1599,0.923,0.163,0.003683,0.2155,1.0,0.0729,0.03693,0.2952,0.0527,0.6963,0.219,0.0729,1.0,0.10846,0.5674,0.7197,0.1874,0.1599,0.03693,0.10846,1.0,0.1758,0.08167,0.4038,0.923,0.2952,0.5674,0.1758,1.0,0.4128,0.414,0.163,0.0527,0.7197,0.08167,0.4128,1.0,1.0
0.997,6.81,8.78,8.36,1.0,0.1683,0.003683,0.6963,0.1874,0.327,0.427,0.1683,1.0,0.2155,0.219,0.1599,0.968,0.302,0.003683,0.2155,1.0,0.0729,0.03693,0.2666,0.07074,0.6963,0.219,0.0729,1.0,0.10846,0.453,0.695,0.1874,0.1599,0.03693,0.10846,1.0,0.1733,0.1062,0.327,0.968,0.2666,0.453,0.1733,1.0,0.4507,0.427,0.302,0.07074,0.695,0.1062,0.4507,1.0,1.0
0.939,9.516,8.82,1.69,1.0,0.1683,0.003683,0.6963,0.1874,0.1929,0.307,0.1683,1.0,0.2155,0.219,0.1599,0.9985,0.5723,0.003683,0.2155,1.0,0.0729,0.03693,0.2566,0.11914,0.6963,0.219,0.0729,1.0,0.10846,0.2576,0.4124,0.1874,0.1599,0.03693,0.10846,1.0,0.1626,0.1381,0.1929,0.9985,0.2566,0.2576,0.1626,1.0,0.5825,0.307,0.5723,0.11914,0.4124,0.1381,0.5825,1.0,1.0
0.9966,6.887,1.588,7.7,1.0,0.1683,0.003683,0.6963,0.1874,0.3179,0.4736,0.1683,1.0,0.2155,0.219,0.1599,0.9736,0.4011,0.003683,0.2155,1.0,0.0729,0.03693,0.2252,0.0708,0.6963,0.219,0.0729,1.0,0.10846,0.4363,0.7134,0.1874,0.1599,0.03693,0.10846,1.0,0.1729,0.1381,0.3179,0.9736,0.2252,0.4363,0.1729,1.0,0.5366,0.4736,0.4011,0.0708,0.7134,0.1381,0.5366,1.0,1.0
0.931,1.14,3.904,3.562,1.0,0.1683,0.003683,0.6963,0.1874,0.478,0.4055,0.1683,1.0,0.2155,0.219,0.1599,0.8574,0.0991,0.003683,0.2155,1.0,0.0729,0.03693,0.3074,0.04016,0.6963,0.219,0.0729,1.0,0.10846,0.678,0.7217,0.1874,0.1599,0.03693,0.10846,1.0,0.1749,0.0717,0.478,0.8574,0.3074,0.678,0.1749,1.0,0.4453,0.4055,0.0991,0.04016,0.7217,0.0717,0.4453,1.0,1.0
0.9995,5.69,6.73,5.062,1.0,0.1683,0.003683,0.6963,0.1874,0.2876,0.4075,0.1683,1.0,0.2155,0.219,0.1599,0.9814,0.3757,0.003683,0.2155,1.0,0.0729,0.03693,0.2651,0.0849,0.6963,0.219,0.0729,1.0,0.10846,0.3953,0.644,0.1874,0.1599,0.03693,0.10846,1.0,0.1709,0.11523,0.2876,0.9814,0.2651,0.3953,0.1709,1.0,0.4744,0.4075,0.3757,0.0849,0.644,0.11523,0.4744,1.0,1.0
0.957,2.21,3.098,5.535,1.0,0.1683,0.003683,0.6963,0.1874,0.445,0.452,0.1683,1.0,0.2155,0.219,0.1599,0.897,0.164,0.003683,0.2155,1.0,0.0729,0.03693,0.254,0.03967,0.6963,0.219,0.0729,1.0,0.10846,0.6245,0.76,0.1874,0.1599,0.03693,0.10846,1.0,0.1765,0.0901,0.445,0.897,0.254,0.6245,0.1765,1.0,0.472,0.452,0.164,0.03967,0.76,0.0901,0.472,1.0,1.0
0.9995,8.16,8.43,9.05,1.0,0.1683,0.003683,0.6963,0.1874,0.3145,0.432,0.1683,1.0,0.2155,0.219,0.1599,0.973,0.3406,0.003683,0.2155,1.0,0.0729,0.03693,0.2576,0.0739,0.6963,0.219,0.0729,1.0,0.10846,0.4336,0.6875,0.1874,0.1599,0.03693,0.10846,1.0,0.1726,0.1145,0.3145,0.973,0.2576,0.4336,0.1726,1.0,0.4727,0.432,0.3406,0.0739,0.6875,0.1145,0.4727,1.0,1.0
0.992,4.43,7.902,5.867,1.0,0.1683,0.003683,0.6963,0.1874,0.336,0.411,0.1683,1.0,0.2155,0.219,0.1599,0.9624,0.2585,0.003683,0.2155,1.0,0.0729,0.03693,0.2844,0.07056,0.6963,0.219,0.0729,1.0,0.10846,0.4673,0.69,0.1874,0.1599,0.03693,0.10846,1.0,0.1737,0.0951,0.336,0.9624,0.2844,0.4673,0.1737,1.0,0.4192,0.411,0.2585,0.07056,0.69,0.0951,0.4192,1.0,1.0
